Zeitstempel,E-Mail-Adresse,space_name,event_title,event_desc,weekday,start_time,end_time,event_url,fb_url,linkedin_url,eventbrite_url,meetup_url,paid,Link zum Event Foto / Link to Event Photo,space_id
09.09.2024 11:11:16,info@coworking0711.de,Coworking0711 Stuttgart-West,Your Way - Dein persönliches Abenteuer zur Selbstentdeckung,"Hast du das Gefühl, dass es Zeit ist, eine neue Richtung in deinem Leben einzuschlagen? Möchtest du tiefere Einblicke in deine eigene Persönlichkeit gewinnen und gleichzeitig eine magische Erfahrung machen? Dann ist Your Way genau das, wonach du suchst.

Bei Your Way handelt es sich nicht um ein gewöhnliches Coaching. Es ist eine einzigartige Mischung aus einem Stadtteil-Rundgang durch den Stuttgarter Westen und einem tiefgehenden Coaching-Erlebnis. Gemeinsam mit Frauke Rahlfs, zertifizierter Coach und psychologische Beraterin, begibst du dich auf eine Reise zu den versteckten Orten und stillen Ecken des Stadtteils – und gleichzeitig zu dir selbst.
",Donnerstag / Thursday,14:00:00,18:00:00,https://webbrause.de,,,,,No,https://webbrause.de/vorschaubild.jpg,coworking0711-stuttgart-west
17.09.2024 16:54:36,salmon@wista.de,ST3AM Adlershof,Kostenloses Tagesticket - Free Daypass,"Wir öffnen für Euch unsere Türen im ST3AM Adlershof. Nutzt die Gelegenheit, zu arbeiten, wie Ihr es noch nie erlebt habt und neue Kontakte zu knüpfen. In dieser Woche ist das Tagesticket kostenfrei. Meldet Euch gerne an. Wir freuen uns auf Euren Besuch

We are opening our doors. Take the opportunity to work like you've never done before and make new contacts. This week, the Daypass will be free. Feel free to register. We look forward to your visit.
",Montag / Monday,09:00:00,20:00:00,https://forms.office.com/e/ScyTtMk7As,,https://www.linkedin.com/showcase/wista-coworking/?viewAsMember=true,,,No,https://secure.mediahub.ai/share/album/5c329826-c86d-47b6-9dec-0c4e8197b7e6/?file=395007,st3am
10.09.2024 12:34:51,andreas@local-work-wandlitz.de,local:work Wandlitz,Gründer:innen Stammtisch Wandlitz/Barnim,"Du hast in den letzten Monaten und Jahren dein eigenes Business gegründet oder stehst mit einer Idee in den Startlöchern?

Du suchst den Austausch mit Gleichgesinnten und möchtest Gründungsexperten kennenlernen?

Dann solltest du definitiv an unserem Wandlitzer Gründer/innen Stammtisch teilnehmen.
Mit unserem Stammtisch bieten wir ein Format, bei dem wir junge, erfahrene und natürlich interessierte Gründer/innen miteinander vernetzen wollen. Zudem begrüßen wir zu jedem Stammtisch einen externen Gast, der einen inhaltlichen Impuls setzt und seine Erfahrungen mit uns teilt.
",Mittwoch / Wednesday,18:00:00,21:00:00,https://local-work-wandlitz.de/event/4-wandlitzer-gruender-innen-stammtisch/,,,,,No,,local-work-wandlitz
12.09.2024 11:41:10,host@thinkfarm-eberswalde.de,Thinkfarm Eberswalde,Vernetzungs After-Work,"Besser gemeinsam arbeiten.

Das ist ein Motto der Thinkfarm und gemeinsam arbeiten funktioniert am besten, wenn man sich kennt. Deshalb nehmen wir das Coworking-Festival zum Anlass, neben unseren betsehenden Coworker*innen und Initiativen auch andere interessierte Menschen willkommenzuheißen, und wertvolle neue Kontake zu knüpfen.

Dazu gibt’s leckere Getränke und Snacks und wir weihen unsere neue Initiativen Wand und unser Steckbrief-Board ein!",Mittwoch / Wednesday,16:00:00,19:00:00,,,,,,No,https://postimg.cc/gr8x2FKF,thinkfarm-eberswalde
12.09.2024 15:13:00,bjoern@kiez-buero.de,Kiez Büro am Ostkreuz,"""Tag der offenen Tür""","Ab 10.00 Uhr könnt Ihr bei uns vorbeikommen und schauen, wie es sich bei Kiez Büro Coworking arbeiten lässt.
Es gibt Lunch, Möglichkeiten zum Netzwerken, unsere Mitglieder stellen sich vor und natürlich hast Du auch Raum zum konzentrierten Arbeiten.

Melde Dich einfach auf LinkedIn oder Meetup an oder per email an: anfrage@kiez-buero.de. ",Donnerstag / Thursday,10:00:00,16:00:00,,,https://www.linkedin.com/events/7239983593802915840/comments/,,https://www.meetup.com/kiez-buro-coworking-meetup/events/303389091/?slug=kiez-buro-coworking-meetup&eventId=301079222&isFirstPublish=true,No,,kiez-buero
13.09.2024 09:45:39,elisa@sleevesup.de,SleevesUp! Marburg,OPEN HOUSE COWORKING FESTIVAL,"Vom 24. bis 26. September 2024 hast du die Gelegenheit, im Rahmen des Coworking Festivals kostenlos in unserem Coworking Space zu arbeiten. Tauche in eine Arbeitsumgebung ein und werde Teil einer lebendigen Gemeinschaft von Coworkern aus verschiedensten Branchen.

Agenda 24.-25.09.:
Standortführung durch den Space
Coworking 09:00-16:00 Uhr
Im Anschluss Netzwerken

Was erwartet dich am 26.09.?
09:00 Uhr: Freies Coworking – Nutze den Tag, um produktiv in unserer inspirierenden Umgebung zu arbeiten.
13:00 Uhr: SleevesUp! lädt euch zu einem gemeinsamen Mittagessen ein.
14:00 Uhr: Speaker-Vortrag
Optional nach 15:00 Uhr: Netzwerken und Ausklang des Tages – Tausche dich mit anderen Teilnehmern aus. Bis 16:00 Uhr steht der Coworking Space weiterhin zur Verfügung.

Wir freuen uns auf dich!",Montag / Monday,09:00:00,16:00:00,https://www.eventbrite.de/e/open-house-coworking-festival-tickets-998397302207?aff=oddtdtcreator,,,https://www.eventbrite.de/e/open-house-coworking-festival-tickets-998397302207?aff=oddtdtcreator,,No,,sleevesup
13.09.2024 13:06:28,bernhard.holtkamp@tricoh.de,calle3 Coworking Space,Flex Desk im calle3 - für ein Tag am 23.9. kostenfrei,"Das calle3, der Coworking Space auf dem idyllischen Hof Holtkamp in Nienborg, beteiligt sich in der Woche vom 23. bis 27. September 2024 am bundesweit stattfindenden Deutschen Coworking Festival. In diesem Rahmen öffnen wir unsere Türen und laden alle Interessierten herzlich ein, die Arbeitsmöglichkeiten auf dem Land kennenzulernen und selbst auszuprobieren.",Montag / Monday,08:00:00,18:00:00,https://www.localticketing.de/events/33306-calle3-freies-flex-desk-tagesticket,,,,,No,https://www.calle3.de,calle3
13.09.2024 13:12:11,bernhard.holtkamp@tricoh.de,calle3 Coworking Space,Flex Desk im calle3 - für ein Tag am 26.9. kostenfrei,"Das calle3, der Coworking Space auf dem idyllischen Hof Holtkamp in Nienborg, beteiligt sich in der Woche vom 23. bis 27. September 2024 am bundesweit stattfindenden Deutschen Coworking Festival. In diesem Rahmen öffnen wir unsere Türen und laden alle Interessierten herzlich ein, die Arbeitsmöglichkeiten auf dem Land kennenzulernen und selbst auszuprobieren.",Donnerstag / Thursday,08:00:00,18:00:00,https://www.localticketing.de/events/33307-calle3-freies-flex-desk-tagesticket,,,,,No,https://www.calle.de,calle3
13.09.2024 13:13:01,bernhard.holtkamp@tricoh.de,calle3 Coworking Space,Flex Desk im calle3 - für ein Tag am 27.9. kostenfrei,"Das calle3, der Coworking Space auf dem idyllischen Hof Holtkamp in Nienborg, beteiligt sich in der Woche vom 23. bis 27. September 2024 am bundesweit stattfindenden Deutschen Coworking Festival. In diesem Rahmen öffnen wir unsere Türen und laden alle Interessierten herzlich ein, die Arbeitsmöglichkeiten auf dem Land kennenzulernen und selbst auszuprobieren.",Freitag / Friday,08:00:00,13:00:00,https://www.localticketing.de/events/33308-calle3-freies-flex-desk-tagesticket,,,,,No,https://www.calle3.de,calle3
13.09.2024 16:27:38,bernhard.holtkamp@tricoh.de,calle3 Coworking Space,Tag der offenen Tür im calle3 Coworking Space – Sei dabei!,"Im Rahmen des Deutschen Coworking Festivals öffnen wir am 27.09.2024 von 15:00 bis 17:00 Uhr unsere Türen im calle3 in Nienborg. Erlebe hautnah, wie modernes Arbeiten in einem inspirierenden Coworking Space aussehen kann und tausche Dich mit Gleichgesinnten über neue Arbeitskonzepte aus.

Was erwartet Dich?

👉 Führungen durch das calle3: Lerne unseren Coworking Space kennen und erfahre mehr über die Entstehungsgeschichte sowie die Erfahrungen der letzten zwei Jahre.
👉 Einblicke in die Zukunft von Coworking: Wir geben Dir einen Überblick über die aktuellen Entwicklungen und den zukünftigen Weg unseres Herzensprojekts.
👉 Spannende Diskussionen: Freue Dich auf zwei renommierte Gäste der Coworking-Szene:
 - Tobias Kremkau (CoWorkLand e.G.)
 - Tim Schabsky (WorkInn GmbH & Co.KG)
Gemeinsam diskutieren wir über die Weiterentwicklung von Coworking und die Zukunft der Arbeit.
Netzwerken bei Kaffee und Kuchen: Genieße die entspannte Atmosphäre bei einer Tasse Kaffee, Tee und leckerem Gebäck und komme ins Gespräch mit anderen Besucher
und Teilnehmer.

Warum solltest Du teilnehmen?
Ob Coworking-Fan, Interessierte
oder Unternehmer
– hier bekommst Du wertvolle Einblicke in die Zukunft der Arbeitswelt, kannst Dich vernetzen und neue Impulse für Deine eigene Arbeit mitnehmen.

Wann?
27.09.2024, 15:00 – 17:00 Uhr

Wo?
calle3 Coworking Space, Nienborg

Anmeldung:
Melde Dich hier an, damit wir besser planen können! (Link)

Wir freuen uns auf Dich und Deine Teilnahme, um gemeinsam über die Zukunft des Arbeitens zu sprechen!

Herzliche Grüße aus Nienborg
Bernhard & Elisabeth vom calle3",Freitag / Friday,15:00:00,17:00:00,https://www.localticketing.de/events/33384-tag-der-offenen-tur-im-calle3-sei-dabei-☘%EF%B8%8F👍😊,https://www.facebook.com/share/ztt4QQhg85MokNds/,https://www.linkedin.com/feed/update/urn:li:activity:7240330580012257280,,,No,https://www.calle3.de,calle3
13.09.2024 15:01:54,nb@heimat2.com,Coworking Blütenviertel Caputh,Brunch & Rundgang Coworking & Kinosaal,Besuchen Sie uns im Blütenviertel Caputh für einen Rundgang und gemeinsamen Brunch in unserem neuen Coworking Space inklusive Kinosaal. Wir freuen uns auf Sie!,Dienstag / Tuesday,11:00:00,15:00:00,https://www.linkedin.com/posts/bl-tenviertel-caputh_coworkingfestival2024-innovation-coworkingcommunity-activity-7240338101888274432-xhSp,,https://www.linkedin.com/posts/bl-tenviertel-caputh_coworkingfestival2024-innovation-coworkingcommunity-activity-7240338101888274432-xhSp,,,No,,bluetenviertel-caputh
16.09.2024 15:59:13,Rick@havelspace.de,Havel Space,Selbstständigen Meetup,"Selbstständige Unternehmer/innen aus Brandenburg  treffen uns immer am letzten Dienstag im Monat ungezwungen zum Austausch über gemeinsame Herausforderungen. Wir wollen uns kennenlernen, vernetzen und uns gegenseitig mit Ideen unterstützen.
Am Anfang jedes Treffens werden die Themen gewählt, über die wir uns austauschen möchten. Dann kann jeder an einer Themengruppe seiner Wahl teilnehmen und mitdiskutieren oder einfach nur zuhören und sich inspirieren lassen. Wir alle sind also die GestalterInnen des Abends. Nach diesen ""Barcamp Sessions"" quatschen wir meist noch ein wenig und lassen den Abend bei einem Getränk ausklingen. Wir freuen uns auf GründerInnen, FreelancerInnen, FreiberuflerInnen, UnternehmerInnen und alle Interessierten, die sich bei Snacks und Drinks kennenlernen und austauschen wollen und mit uns gemeinsam eine starke Community an der Havel aufbauen wollen.",Dienstag / Tuesday,18:00:00,21:00:00,,,,,https://www.meetup.com/havel-valley/events/303463703,No,https://www.meetup.com/havel-valley/events/303524777,havel-space
16.09.2024 20:05:01,info@coworking0711.de,Coworking0711 Stuttgart-West,Tango ist Co-Working!,"Tango Argentino ist „Kommunikation in Beziehung“ und gelungene Zusammenarbeit. Ein schöner Tanz gelingt, wenn zwei Personen sich abstimmen, klare Entscheidungen getroffen und gemeinsam umgesetzt werden. Losgelöst von der klassischen Mann-Frau-Variante ist es das Zusammenspiel zweier Menschen.

Über das Prinzip von Führen & Folgen wird ein spannender Dialog aufgebaut - nicht eine Hierarchie, wie viele meinen. Wir zeigen Euch die wichtigsten Prinzipien und erforschen gemeinsam, was der Tango uns für gute Beziehungen, klare Körpersprache und wertschätzende Kommunikation im Lebens- und Berufsalltag vermitteln kann.

Ihr könnt alleine, zu zweit oder zu mehreren kommen und jedweden Geschlechts sein – wir bilden immer ein Doppel-Team und wechseln durch. Im Workshop zeigen wir Euch die Grundlagen des Tangos in einfachen Bewegungen. Ihr braucht keinerlei Tanzerfahrung oder -begabung, nur zwei gesunde Beine J

Ein Mitmach-Workshop für alle, die auf Tango-Coaching neugierig sind. Dabei wird Tango als Kommunikationstraining (u.a. für Führungskräfte), für Teambuilding-Prozesse und zur Persönlichkeitsentwicklung eingesetzt.

Liane Schieferstein betreibt seit 2007 eine Tango-Schule im Stuttgarter Süden, das LALOTANGO. Seit langem erforscht sie das lebensbereichernde Potential des Tangos und geht neue Wege mit dieser besonderen Begegnungskunst.

www.lalotango.de

Teilnahme kostenfrei, um Spenden wird gebeten.",Donnerstag / Thursday,19:00:00,21:00:00,https://coworking0711.de/events/event?tx_news_pi1%5Bnews%5D=319&cHash=49b3bd7cdc39a92b13fddf9dbb5f5b06,,,,,No,https://coworking0711.de/fileadmin/user_upload/DSC07562_Tango_Coaching.jpg,coworking0711-stuttgart-west
17.09.2024 09:08:48,julianne@coconat-space.com,Coconat,CoworkationCamp Brandenburg 2024 – Beyond Tourism,"Zum Auftakt des Coworking Festival Germany 2024 findet das CoworkationCamp Brandenburg – Beyond Tourism im Coconat statt.

Dieses Barcamp bietet die perfekte Gelegenheit, mit kreativen Köpfen und Akteuren der Coworking- und Workation-Szene über aktuelle Themen und die Zukunft von Coworking in Brandenburg zu diskutieren. Das offene Veranstaltungsformat wurde bewusst gewählt: Es geht darum, dass die Teilnehmenden die Agenda und Themen selbst bestimmen und aktiv mitgestalten.

3 Gründe für die Teilnahme

    Netzwerk: Knüpfe neue Kontakte und tausche dich mit Gleichgesinnten aus.
    Mitgestaltung: Bestimme die Themen der Sessions selbst, z.B. „KI und New Work“, „Coworking Spaces als Mobilitäts-Hubs“ oder „Infrastruktur für Start-ups im ländlichen Raum“.
    Brandenburg stärken: Neue Impulse für die Coworking- und Workation-Szene in Brandenburg.

Programm:

    Begrüßung & Keynotes
    Einführung ins Barcamp-Format
    Drei spannende Sessionrunden
    Leckere Mittagspause
    Abschluss mit einem Meet & Greet

Melde dich noch heute an und sichere Dir einen Platz!
Organisation
Coworking Festival Germany, unterstützt von der Wirtschaftsförderung Brandenburg und TMB Tourismus-Marketing Brandenburg GmbH
------
As the opening event of the Coworking Festival Germany 2024, the CoworkationCamp Brandenburg – Beyond Tourism will take place at Coconat.

This Barcamp offers the perfect opportunity to discuss current topics and the future of coworking in Brandenburg with creative thinkers and key players in the coworking and workation scene. The open event format has been deliberately chosen: participants will set the agenda and actively shape the topics.

3 reasons to participate:

    Networking: Make new connections and exchange ideas with like-minded people.
    Co-creation: Decide on the session topics yourself, such as “AI and New Work,” “Coworking Spaces as Mobility Hubs,” or “Infrastructure for Start-ups in Rural Areas.”
    Strengthening Brandenburg: Bring new impulses to the coworking and workation scene in Brandenburg.

Program:

    Welcome & Keynotes
    Introduction to the Barcamp format
    Three exciting session rounds
    Delicious lunch break
    Closing with a Meet & Greet

Register today and secure your spot!
Organisation
Coworking Festival Germany, supported by Wirtschaftsförderung Brandenburg and TMB Tourismus-Marketing Brandenburg GmbH",Montag / Monday,09:30:00,17:00:00,https://coconat-space.com/de/events/coworkationcamp-brandenburg-2024-beyond-tourism/,,,,,No,,coconat
17.09.2024 09:10:03,Julianne@coconat-space.com,Coconat,Creative Spaces Tour (Bad Belzig/Wiesenburg),"
Von 10 bis 18 Uhr besuchen wir verschiedene kreative Zentren und Coworking Spaces in unserer Region.
From 10am - 6pm, we visit several creative hubs and coworking spaces in our area.",Dienstag / Tuesday,10:00:00,18:00:00,https://docs.google.com/forms/d/19OFDtUZBVTDMbkRt5625KLXUUiC36B4glGtNJmhLjEc/edit,,,,,Yes,,coconat
